"date","time","from","sender name","sender lat","sender long","rx lat","rx long","rx elevation","rx snr","distance(m)","hop limit","payload"
"2026-06-03","18:54:28","1159022031","Collar","39.2953856","-76.6246912","39.27438","-76.61483","30","5.25","2485","3","<POSITION_APP>"
"2026-06-03","18:54:28","1159022031","Collar","","","39.27438","-76.61483","30","7.0","","","<RANGE_TEST_APP>"
"2026-06-03","18:54:43","1159022031","Collar","","","39.27438","-76.61483","30","7.0","","","<RANGE_TEST_APP>"
"2026-06-03","18:54:54","1159022031","Collar","","","39.27438","-76.61483","30","6.25","","3","<NODEINFO_APP>"
"2026-06-03","18:54:58","1159022031","Collar","","","39.27438","-76.61483","30","5.25","","","<RANGE_TEST_APP>"
"2026-06-03","18:55:13","1159022031","Collar","","","39.27438","-76.61483","30","5.5","","","<RANGE_TEST_APP>"
"2026-06-03","18:55:20","1159022031","Collar","","","39.27438","-76.61483","30","6.25","","3","<TELEMETRY_APP>"
"2026-06-03","18:55:28","1159022031","Collar","","","39.27438","-76.61483","30","5.5","","","<RANGE_TEST_APP>"
"2026-06-03","18:55:47","1159022031","Collar","","","39.27438","-76.61483","30","5.75","","","<RANGE_TEST_APP>"
"2026-06-03","18:55:58","1159022031","Collar","","","39.27438","-76.61483","30","5.75","","","<RANGE_TEST_APP>"
"2026-06-03","18:56:13","1159022031","Collar","","","39.27438","-76.61483","30","5.5","","","<RANGE_TEST_APP>"
"2026-06-03","18:56:29","1159022031","Collar","","","39.27438","-76.61483","30","6.0","","","<RANGE_TEST_APP>"
"2026-06-03","18:57:58","1159022031","Collar","","","39.27438","-76.61483","30","5.5","","","<RANGE_TEST_APP>"
"2026-06-03","18:58:13","1159022031","Collar","","","39.27438","-76.61483","30","6.25","","","<RANGE_TEST_APP>"
"2026-06-03","18:58:29","1159022031","Collar","","","39.27438","-76.61483","30","5.5","","","<RANGE_TEST_APP>"
"2026-06-03","18:58:32","1159022031","Collar","39.2953856","-76.6246912","39.27438","-76.61483","30","6.0","2485","3","<POSITION_APP>"
"2026-06-03","18:59:44","1159022031","Collar","","","39.27438","-76.61483","30","6.25","","","<RANGE_TEST_APP>"
"2026-06-03","18:59:59","1159022031","Collar","","","39.27438","-76.61483","30","5.25","","","<RANGE_TEST_APP>"
"2026-06-03","19:00:13","1159022031","Collar","","","39.27438","-76.61483","30","6.25","","","<RANGE_TEST_APP>"
"2026-06-03","19:00:28","1159022031","Collar","","","39.27438","-76.61483","30","6.75","","","<RANGE_TEST_APP>"
"2026-06-03","19:00:30","1159022031","Collar","39.2953856","-76.6246912","39.27438","-76.61483","30","4.75","2485","3","<POSITION_APP>"
"2026-06-03","19:00:43","1159022031","Collar","","","39.27438","-76.61483","30","6.25","","","<RANGE_TEST_APP>"
"2026-06-03","19:00:46","1159022031","Collar","","","39.27438","-76.61483","30","5.75","","3","<TRACEROUTE_APP>"
"2026-06-03","19:00:48","1159022031","Collar","","","39.27438","-76.61483","30","5.25","","","<ROUTING_APP>"
"2026-06-03","19:00:59","1159022031","Collar","","","39.27438","-76.61483","30","5.0","","","<RANGE_TEST_APP>"
"2026-06-03","19:01:10","1159022031","Collar","39.2953856","-76.6246912","39.27438","-76.61483","30","6.0","2485","3","<POSITION_APP>"
"2026-06-03","19:01:14","1159022031","Collar","","","39.27438","-76.61483","30","6.25","","","<RANGE_TEST_APP>"
"2026-06-03","19:01:29","1159022031","Collar","","","39.27438","-76.61483","30","6.75","","","<RANGE_TEST_APP>"
"2026-06-03","19:01:30","1159022031","Collar","39.2953856","-76.6246912","39.27438","-76.61483","30","6.75","2485","3","<POSITION_APP>"
"2026-06-03","19:01:44","1159022031","Collar","","","39.27438","-76.61483","30","7.25","","","<RANGE_TEST_APP>"
"2026-06-03","19:01:50","1159022031","Collar","39.2953856","-76.6246912","39.27438","-76.61483","30","5.5","2485","3","<POSITION_APP>"
"2026-06-03","19:01:58","1159022031","Collar","","","39.27438","-76.61483","30","5.5","","","<RANGE_TEST_APP>"
"2026-06-03","19:02:10","1159022031","Collar","39.2953856","-76.6246912","39.27438","-76.61483","30","6.0","2485","3","<POSITION_APP>"
"2026-06-03","19:02:14","1159022031","Collar","","","39.27438","-76.61483","30","6.0","","","<RANGE_TEST_APP>"
"2026-06-03","19:02:29","1159022031","Collar","","","39.27438","-76.61483","30","7.75","","","<RANGE_TEST_APP>"
"2026-06-03","19:02:30","1159022031","Collar","39.2953856","-76.6246912","39.27438","-76.61483","30","6.25","2485","3","<POSITION_APP>"
"2026-06-03","19:02:44","1159022031","Collar","","","39.27438","-76.61483","30","6.25","","","<RANGE_TEST_APP>"
"2026-06-03","19:02:50","1159022031","Collar","39.2953856","-76.6246912","39.27438","-76.61483","30","4.75","2485","3","<POSITION_APP>"
"2026-06-03","19:03:01","1159022031","Collar","","","39.27438","-76.61483","30","5.75","","","<RANGE_TEST_APP>"
"2026-06-03","19:03:10","1159022031","Collar","39.2953856","-76.6246912","39.27438","-76.61483","30","6.25","2485","3","<POSITION_APP>"
"2026-06-03","19:03:14","1159022031","Collar","","","39.27438","-76.61483","30","6.5","","","<RANGE_TEST_APP>"
"2026-06-03","19:03:28","1159022031","Collar","","","39.27438","-76.61483","30","7.25","","","<RANGE_TEST_APP>"
"2026-06-03","19:03:30","1159022031","Collar","39.2953856","-76.6246912","39.27438","-76.61483","30","6.25","2485","3","<POSITION_APP>"
"2026-06-03","19:03:44","1159022031","Collar","","","39.27438","-76.61483","30","7.5","","","<RANGE_TEST_APP>"
"2026-06-03","19:03:59","1159022031","Collar","","","39.27438","-76.61483","30","6.5","","","<RANGE_TEST_APP>"
"2026-06-03","19:04:10","1159022031","Collar","39.2953856","-76.6246912","39.27438","-76.61483","30","6.25","2485","3","<POSITION_APP>"
"2026-06-03","19:04:14","1159022031","Collar","","","39.27438","-76.61483","30","6.75","","","<RANGE_TEST_APP>"
"2026-06-03","19:15:11","1159022031","Collar","39.2953856","-76.6246912","39.27438","-76.61483","30","5.75","2485","3","<POSITION_APP>"
"2026-06-03","19:15:11","1159022031","Collar","","","39.27438","-76.61483","30","5.0","","","<RANGE_TEST_APP>"
"2026-06-03","19:15:13","1159022031","Collar","","","39.27438","-76.61483","30","6.25","","3","<NODEINFO_APP>"
"2026-06-03","19:15:23","1159022031","Collar","","","39.27438","-76.61483","30","6.0","","","<RANGE_TEST_APP>"
"2026-06-03","19:15:27","1159022031","Collar","39.2953856","-76.6246912","39.27438","-76.61483","30","5.25","2485","3","<POSITION_APP>"
"2026-06-03","19:15:40","1159022031","Collar","","","39.27438","-76.61483","30","5.75","","","<RANGE_TEST_APP>"
"2026-06-03","19:15:42","1159022031","Collar","","","39.27438","-76.61483","30","6.25","","3","<TELEMETRY_APP>"
